COLUMN_NAME,COLUMN_TYPE,NONULL,COLUMN_COMMENT,ORDINAL_POSITION,COLUMN_KEY,,
INDEX,int(10),YES,,1,PRI,,自動編號
Dat_time,datetime,YES,,2,,,建立日期時間
A001,char(32),YES,,3,,,設備MAC
A002,char(32),YES,,4,PRI,,設備型態
A003,char(32),NO,,5,,,版本日期
A004,char(32),NO,,6,,,
A005,char(32),NO,,7,,,
A006,char(32),NO,,8,,,
A007,char(32),NO,,9,,,
A008,char(32),NO,,10,,,
A009,char(32),NO,,11,,,
A010,char(32),NO,,12,,,
B001,text,YES,,13,,,電池號碼
B002,text,YES,,14,,,回應資料
B003,text,NO,,15,,,
B004,text,NO,,16,,,
B005,text,NO,,17,,,
B006,text,NO,,18,,,
B007,text,NO,,19,,,
B008,text,NO,,20,,,
B009,text,NO,,21,,,
B010,text,NO,,22,,,
C001,text,NO,,23,,,
C002,text,NO,,24,,,
C003,text,NO,,25,,,
C004,text,NO,,26,,,
C005,text,NO,,27,,,
C006,text,NO,,28,,,
C007,text,NO,,29,,,
C008,text,NO,,30,,,
C009,text,NO,,31,,,
C010,text,NO,,32,,,
